Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Age ratio
3.724,7.37,0.451,50.8,0.718,0.168,0.882,0.518,0.258,102.0786586
2.375,7.697,0.42,52.4,0.394,-0.108,0.924,0.351,0.502,82.1097716
2.694,7.692,0.508,52.6,0.374,-0.094,0.928,0.424,0.405,84.07765546
2.662,7.697,0.491,52.8,0.427,-0.121,0.954,0.496,0.371,86.00075464
4.22,7.697,0.559,53,0.523,0.042,0.793,0.565,0.348,87.94178807
3.983,7.702,0.529,53.2,0.389,0.08,0.881,0.554,0.339,89.95409233
3.572,7.725,0.484,52.56,0.578,0.061,0.823,0.621,0.273,95.3387363
3.783,7.705,0.521,52.24,0.531,0.236,0.776,0.71,0.268,97.92594721
3.832,7.62,0.521,51.92,0.496,0.162,0.731,0.611,0.267,100.2244608
4.758,7.647,0.539,51.6,0.6,0.121,0.707,0.618,0.275,102.0458227
4.402,7.54,0.552,51.2,0.679,0.19,0.85,0.584,0.237,102.2490144
3.131,7.718,0.526,52.88,0.509,0.104,0.871,0.532,0.375,92.64914304
5.365,9.497,0.71,69.3,0.754,0.007,0.891,0.679,0.265,46.93014702
4.995,9.544,0.686,69,0.777,-0.099,0.914,0.681,0.274,46.20352176
5.004,9.518,0.684,68.7,0.824,0.009,0.899,0.713,0.319,45.81003739
4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.669,0.334,45.68209749
4.511,9.437,0.638,68.1,0.73,-0.017,0.901,0.675,0.322,45.64503371
4.814,9.378,0.626,67.52,0.735,-0.025,0.883,0.685,0.335,45.77467951
4.551,9.359,0.759,67.24,0.632,-0.127,0.863,0.634,0.338,46.25665586
5.51,9.347,0.785,66.96,0.602,-0.169,0.848,0.607,0.271,47.0330799
5.867,9.331,0.759,66.68,0.487,-0.205,0.877,0.628,0.257,48.11805823
5.269,9.303,0.733,66.4,0.569,-0.172,0.726,0.648,0.3,49.47790868
5.485,9.262,0.833,66.2,0.525,-0.158,0.864,0.64,0.279,50.04407756
4.634,9.142,0.821,65.8,0.529,-0.009,0.875,0.553,0.246,51.6043425
4.607,9.403,0.639,67.8,0.704,-0.081,0.885,0.688,0.35,45.55040246
4.745,9.337,0.803,66.1,0.385,0.005,0.741,0.585,0.215,58.9904905
4.36,8.992,0.753,53.2,0.456,-0.136,0.906,0.558,0.305,98.14544683
3.937,9.005,0.722,53.9,0.41,-0.104,0.816,0.658,0.371,98.13046346
3.795,9.017,0.755,54.6,0.375,-0.168,0.834,0.579,0.368,97.94220512
6.039,10.067,0.907,68.6,0.832,-0.186,0.841,0.809,0.292,56.04635544
5.901,9.85,0.897,69.2,0.823,-0.122,0.816,0.764,0.342,55.76766101
6.086,10,0.896,69,0.817,-0.211,0.83,0.826,0.319,55.85703345
5.793,10.032,0.9,68.8,0.846,-0.211,0.855,0.82,0.321,55.95447291
6.697,10.083,0.926,68.2,0.881,-0.174,0.851,0.859,0.305,56.10360435
6.427,10.051,0.883,68.4,0.848,-0.192,0.851,0.842,0.312,56.10227058
6.424,9.977,0.919,67.18,0.637,-0.13,0.885,0.864,0.237,57.17997682
6.582,10.103,0.91,67.84,0.737,-0.13,0.823,0.842,0.254,56.2922668
6.468,10.091,0.902,67.66,0.747,-0.148,0.817,0.857,0.272,56.37918796
6.776,10.112,0.889,67.48,0.816,-0.174,0.755,0.84,0.232,56.54174813
6.441,10.066,0.927,67.3,0.73,-0.126,0.855,0.846,0.211,56.81596915
5.961,10.048,0.892,67.06,0.678,-0.132,0.865,0.823,0.318,57.66954867
6.073,10.018,0.862,66.94,0.653,-0.141,0.881,0.828,0.279,58.22838117
6.671,10.067,0.918,68.02,0.745,-0.164,0.854,0.857,0.238,56.21224041
6.313,9.942,0.938,66.82,0.733,-0.157,0.852,0.825,0.328,58.74958429
5.488,9.522,0.782,67.2,0.844,-0.172,0.583,0.598,0.43,47.60064515
5.062,9.451,0.814,66.9,0.808,-0.163,0.677,0.581,0.455,46.81538832
4.288,9.402,0.698,66.6,0.614,-0.147,0.865,0.625,0.437,46.09426704
4.325,9.333,0.709,66.3,0.611,-0.17,0.921,0.594,0.437,45.43113517
4.348,9.334,0.723,66,0.551,-0.203,0.901,0.594,0.438,44.83818601
4.32,9.249,0.676,65.52,0.502,-0.215,0.893,0.518,0.464,43.51396981
4.26,9.182,0.705,65.36,0.465,-0.225,0.875,0.475,0.459,43.48170476
4.368,9.136,0.66,65.2,0.459,-0.176,0.891,0.51,0.426,43.790785
4.178,9.111,0.68,65.1,0.441,-0.214,0.882,0.543,0.411,44.5110101
4.652,9.256,0.709,65,0.462,-0.215,0.876,0.521,0.385,45.77507157
4.882,9.181,0.76,64.9,0.605,-0.251,0.817,0.507,0.412,47.36233029
4.289,9.044,0.682,64.8,0.52,-0.231,0.85,0.494,0.469,48.8821887
4.453,9.307,0.739,65.84,0.506,-0.218,0.92,0.581,0.404,44.31489394
4.277,9.277,0.723,65.68,0.504,-0.195,0.9,0.562,0.45,43.83940343
7.234,10.815,0.943,73.9,0.918,0.121,0.43,0.77,0.202,54.31300548
7.285,10.703,0.965,71.72,0.891,0.347,0.513,0.826,0.215,47.89079729
7.177,10.811,0.94,73.6,0.916,0.146,0.405,0.759,0.187,53.48508824
7.137,10.76,0.937,74.2,0.905,0.21,0.491,0.769,0.205,55.05193851
7.257,10.798,0.95,73.3,0.911,0.317,0.411,0.78,0.225,52.5996706
7.309,10.779,0.952,72.7,0.922,0.332,0.357,0.79,0.21,50.92505621
7.289,10.772,0.924,72.6,0.923,0.319,0.442,0.775,0.245,50.25970006
7.364,10.762,0.928,72.5,0.933,0.269,0.432,0.819,0.177,49.64057799
7.196,10.754,0.945,72.4,0.935,0.274,0.368,0.811,0.214,49.06719336
7.406,10.733,0.967,72.3,0.945,0.369,0.382,0.816,0.195,48.51375386
7.45,10.722,0.955,72.2,0.932,0.317,0.366,0.834,0.22,47.94845437
7.254,10.719,0.947,71.88,0.916,0.305,0.431,0.826,0.218,47.74597554
7.25,10.791,0.942,73,0.922,0.239,0.399,0.791,0.236,51.72993235
7.195,10.939,0.964,73.3,0.903,0.06,0.457,0.774,0.205,50.23465918
7.213,10.851,0.925,73.6,0.912,0.011,0.464,0.769,0.206,50.63911524
7.396,10.928,0.912,73,0.904,0.053,0.523,0.752,0.226,49.92394012
7.048,10.891,0.926,72.4,0.889,0.08,0.524,0.756,0.197,49.43171196
7.076,10.881,0.928,72.1,0.9,0.099,0.557,0.798,0.164,49.16569239
6.95,10.882,0.899,71.96,0.885,0.118,0.567,0.78,0.17,48.88429406
7.401,10.889,0.945,71.68,0.92,0.118,0.771,0.822,0.157,48.4584345
7.499,10.883,0.95,71.82,0.922,0.168,0.679,0.787,0.163,48.64841934
7.471,10.887,0.944,71.54,0.939,0.132,0.703,0.789,0.145,48.31323632
7.303,10.861,0.914,71.4,0.896,0.131,0.546,0.815,0.156,48.18118727
7.181,10.887,0.935,71.08,0.879,0.291,0.614,0.832,0.173,47.87871292
7.122,10.842,0.936,70.76,0.941,0.302,0.49,0.823,0.174,47.60522483
